GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
processPensionMicroservice,com.processPensionMicroservice.config,SwaggerConfig,29,0,0,0,10,0,4,0,4,0
processPensionMicroservice,com.processPensionMicroservice.config,ProcessPensionConfig,25,0,0,0,8,0,3,0,3,0
processPensionMicroservice,com.processPensionMicroservice.model,PensionerInput,209,23,40,0,13,12,29,6,9,6
processPensionMicroservice,com.processPensionMicroservice.model,ProcessInput,109,0,16,0,13,0,17,0,9,0
processPensionMicroservice,com.processPensionMicroservice.model,PensionDetail,210,23,40,0,13,12,29,6,9,6
processPensionMicroservice,com.processPensionMicroservice.model,ProcessPensionInput,124,27,24,0,4,13,18,5,6,5
processPensionMicroservice,com.processPensionMicroservice.model,Bank,9,27,0,0,3,13,3,5,3,5
processPensionMicroservice,com.processPensionMicroservice.model,PensionerDetail,234,101,53,5,2,35,32,17,4,16
processPensionMicroservice,com.processPensionMicroservice.model,CustomErrorResponse,166,34,38,0,5,16,26,6,7,6
processPensionMicroservice,com.processPensionMicroservice.model,ProcessPensionResponse,54,6,8,0,6,3,10,1,6,1
processPensionMicroservice,com.processPensionMicroservice.exception,PensionerNotFoundException,0,4,0,0,0,2,0,1,0,1
processPensionMicroservice,com.processPensionMicroservice.exception,ServiceNotFound,8,0,0,0,2,0,1,0,1,0
processPensionMicroservice,com.processPensionMicroservice.exception,PensionerDetailsException,0,4,0,0,0,2,0,1,0,1
processPensionMicroservice,com.processPensionMicroservice.exception,AuthorizationException,0,4,0,0,0,2,0,1,0,1
processPensionMicroservice,com.processPensionMicroservice.service,ProcessPensionServiceImpl,159,63,16,6,35,16,11,6,2,4
processPensionMicroservice,com.processPensionMicroservice.service,Constants,3,0,0,0,1,0,1,0,1,0
processPensionMicroservice,com.processPensionMicroservice.controller,processPensionController,38,0,0,0,8,0,4,0,4,0
processPensionMicroservice,com.processPensionMicroservice,ProcessPensionMicroserviceApplication,8,0,0,0,3,0,2,0,2,0
